uid,from_uid,num_filters_1,dropout_1,num_filters_2,dropout_2,num_filters_3,dropout_3,layer_1_Neurons,dense_activation_1,layer_2_Neurons,dense_activation_2,learning_rate,loss,val_loss,accuracy,val_accuracy
0,,32,0.5,128,0.45,32,0.5,64,sigmoid,128,tanh,0.0009749332269823054,0.49848172068595886,0.1494094282388687,0.9462310671806335,0.9751337766647339
1,,128,0.2,64,0.2,32,0.05,384,sigmoid,480,tanh,0.00014023399602325874,0.36824336647987366,0.12720344960689545,0.987776517868042,0.9870797395706177
2,,64,0.45,64,0.2,64,0.4,96,tanh,288,relu,0.0009824542588158123,0.2800559401512146,0.1144370511174202,0.9631160497665405,0.9776368737220764
3,,128,0.1,32,0.05,64,0.05,128,relu,224,tanh,0.0012405181050498832,0.19339609146118164,0.10920020937919617,0.9746837615966797,0.9759581685066223
4,,128,0.2,32,0.2,64,0.05,320,relu,512,relu,0.005704251931830293,0.3993467092514038,0.2417673021554947,0.9231518507003784,0.9550639390945435
5,,128,0.1,32,0.15000000000000002,64,0.4,256,relu,160,tanh,0.0043925333029596605,2.783262252807617,2.7647879123687744,0.7855761647224426,0.7002263069152832
6,,32,0.35000000000000003,64,0.25,32,0.25,64,tanh,480,sigmoid,0.0001227867741533623,0.9124422669410706,0.27588585019111633,0.9736682176589966,0.9829728603363037
7,,32,0.30000000000000004,128,0.15000000000000002,64,0.25,256,sigmoid,320,relu,0.00024370961846589565,0.3476620614528656,0.12004003673791885,0.9871919751167297,0.9881289601325989
8,,32,0.4,128,0.30000000000000004,32,0.2,448,relu,320,tanh,0.00013874425681542553,0.42503973841667175,0.14020168781280518,0.9856293797492981,0.9892681241035461
9,,64,0.35000000000000003,64,0.5,32,0.30000000000000004,256,sigmoid,352,tanh,0.00017582232810420384,0.606492280960083,0.1831912398338318,0.9735108613967896,0.9840370416641235
10,,128,0.05,128,0.05,32,0.1,128,sigmoid,160,tanh,0.0036569295366168696,0.4797348082065582,0.4037758708000183,0.915904700756073,0.9384864568710327
11,,64,0.15000000000000002,32,0.2,32,0.5,480,relu,96,sigmoid,0.0008019212661756024,0.4213913679122925,0.12373240292072296,0.9628425240516663,0.9804247617721558
12,,32,0.15000000000000002,32,0.15000000000000002,64,0.4,256,relu,384,tanh,0.0013291852527485804,0.2666844427585602,0.10693906247615814,0.9639142155647278,0.9779067039489746
13,,128,0.30000000000000004,128,0.25,32,0.15000000000000002,64,relu,384,relu,0.0006220323522895685,0.257007360458374,0.09713206440210342,0.9817472696304321,0.9859706163406372
14,,64,0,128,0.15000000000000002,128,0.2,288,tanh,96,sigmoid,0.00012248826057885715,0.5343614816665649,0.1381816565990448,0.9943116903305054,0.9917562007904053
15,,32,0.5,64,0.35000000000000003,128,0.1,416,tanh,64,sigmoid,0.000929184356170649,0.3064875602722168,0.11831887066364288,0.9667246341705322,0.976812481880188
16,,64,0.45,128,0.35000000000000003,32,0.15000000000000002,352,tanh,192,sigmoid,0.00175813351659003,0.2664855122566223,0.2001204490661621,0.9451855421066284,0.9618538022041321
17,,64,0.05,128,0.35000000000000003,64,0.5,480,relu,480,tanh,0.0047156844970391324,1.4432322978973389,1.480303168296814,0.8551209568977356,0.9274847507476807
18,,64,0.2,64,0.4,128,0.2,64,tanh,192,sigmoid,0.00011998472287810798,0.806817352771759,0.21401351690292358,0.9845501780509949,0.9879940748214722
19,,32,0.2,64,0.35000000000000003,128,0.4,480,relu,384,relu,0.0049406530672152634,0.5382561087608337,0.22111496329307556,0.897625744342804,0.9507321715354919